epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1365.2,0.19503,1.75427,0.00595,0.88057,0.90245,0.94601,0.93176,0.26198,0.28004,0.01267,0.00999446,0.00333149,0.00999446,0.00333149,0.00999446,0.00333149,0.00999446,0.00333149
2,1218.13,0.20676,0.385,0.00566,0.8939,0.90977,0.96066,0.9592,0.12105,0.26066,0.0058,0.0190947,0.0063649,0.0190947,0.0063649,0.0190947,0.0063649,0.0190947,0.0063649
3,2319.95,0.26067,0.3808,0.00684,0.90281,0.91766,0.96825,0.96281,0.19428,0.23005,0.00937,0.027295,0.00909832,0.027295,0.00909832,0.027295,0.00909832,0.027295,0.00909832
4,3418.31,0.24209,0.37702,0.00616,0.92794,0.94337,0.98094,0.94854,0.26283,0.19816,0.01265,0.02595,0.00865,0.02595,0.00865,0.02595,0.00865,0.02595,0.00865
5,4512.57,0.1965,0.32982,0.00493,0.94911,0.9494,0.98477,0.92981,0.29538,0.1823,0.01421,0.0246,0.0082,0.0246,0.0082,0.0246,0.0082,0.0246,0.0082
6,5601.94,0.17483,0.30684,0.00436,0.95056,0.9512,0.98493,0.98313,0.16706,0.14472,0.008,0.02325,0.00775,0.02325,0.00775,0.02325,0.00775,0.02325,0.00775
7,6697.82,0.16091,0.28734,0.00398,0.96183,0.96947,0.98967,0.98811,0.1413,0.11178,0.00677,0.0219,0.0073,0.0219,0.0073,0.0219,0.0073,0.0219,0.0073
8,7811.07,0.15118,0.2728,0.0037,0.95757,0.97347,0.99002,0.95732,0.19004,0.12193,0.00911,0.02055,0.00685,0.02055,0.00685,0.02055,0.00685,0.02055,0.00685
9,8913.23,0.14257,0.25768,0.00345,0.96949,0.96764,0.99049,0.97806,0.19846,0.12102,0.0095,0.0192,0.0064,0.0192,0.0064,0.0192,0.0064,0.0192,0.0064
10,10012.6,0.13715,0.24895,0.00328,0.96917,0.97033,0.99104,0.99016,0.15879,0.10641,0.0076,0.01785,0.00595,0.01785,0.00595,0.01785,0.00595,0.01785,0.00595
11,11104.2,0.13104,0.24123,0.00314,0.97297,0.97195,0.99148,0.99051,0.1669,0.10576,0.00799,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055
12,12172.2,0.12381,0.2328,0.00293,0.97379,0.97189,0.99172,0.99128,0.1202,0.09136,0.00573,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
13,13239,0.14114,0.1379,0.00623,0.9768,0.97243,0.99198,0.99186,0.1927,0.10597,0.00922,0.0138,0.0046,0.0138,0.0046,0.0138,0.0046,0.0138,0.0046
14,14299.9,0.10831,0.11767,0.0047,0.97728,0.97568,0.99235,0.99222,0.20704,0.10739,0.00992,0.01245,0.00415,0.01245,0.00415,0.01245,0.00415,0.01245,0.00415
15,15361.5,0.09149,0.10649,0.00395,0.97862,0.97567,0.99256,0.99231,0.19359,0.10218,0.00929,0.0111,0.0037,0.0111,0.0037,0.0111,0.0037,0.0111,0.0037
16,16419.3,0.07879,0.09385,0.00339,0.97902,0.97553,0.9927,0.9926,0.17805,0.09785,0.00853,0.00975,0.00325,0.00975,0.00325,0.00975,0.00325,0.00975,0.00325
17,17474.5,0.06888,0.08733,0.00295,0.97919,0.97473,0.99283,0.9923,0.1734,0.09624,0.00831,0.0084,0.0028,0.0084,0.0028,0.0084,0.0028,0.0084,0.0028
18,18526.7,0.05875,0.07727,0.0025,0.98054,0.97234,0.99254,0.96394,0.2369,0.1185,0.01142,0.00705,0.00235,0.00705,0.00235,0.00705,0.00235,0.00705,0.00235
19,19610.5,0.04822,0.06753,0.00204,0.97831,0.97783,0.99292,0.96028,0.25007,0.11996,0.01208,0.0057,0.0019,0.0057,0.0019,0.0057,0.0019,0.0057,0.0019
20,20701.1,0.03818,0.05826,0.00161,0.97939,0.97827,0.99298,0.96017,0.25102,0.12046,0.0121,0.00435,0.00145,0.00435,0.00145,0.00435,0.00145,0.00435,0.00145
21,21769.4,0.02844,0.05118,0.00119,0.97984,0.97838,0.99303,0.96017,0.24779,0.11988,0.01194,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
22,22823.8,0.02013,0.04313,0.00083,0.98023,0.97854,0.99307,0.9602,0.24571,0.12003,0.01184,0.00165,0.00055,0.00165,0.00055,0.00165,0.00055,0.00165,0.00055
